date_time,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,is_mobile,is_package,channel,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_type_id,is_booking,hotel_continent,hotel_country,hotel_market,hotel_cluster
8/11/2014 7:46,3,66,348,48862,2234.2641,0,1,9,2,0,1,1,0,2,50,628,1
8/11/2014 8:22,3,66,348,48862,2234.2641,0,1,9,2,0,1,1,1,2,50,628,1
8/11/2014 8:24,3,66,348,48862,2234.2641,0,0,9,2,0,1,1,0,2,50,628,1
8/9/2014 18:05,3,66,442,35390,913.1932,0,0,3,2,0,1,1,0,2,50,1457,80
8/9/2014 18:08,3,66,442,35390,913.6259,0,0,3,2,0,1,1,0,2,50,1457,21
8/9/2014 18:13,3,66,442,35390,911.5142,0,0,3,2,0,1,1,0,2,50,1457,92
1/17/2014 6:24,3,66,318,22418,420.6642,0,1,9,2,0,1,1,0,2,50,191,18
1/21/2014 6:39,3,66,318,22418,421.8551,0,1,2,2,0,1,1,0,2,50,191,25
1/21/2014 6:40,3,66,318,22418,421.8551,0,1,2,2,0,1,1,0,2,50,191,25
1/22/2014 6:10,3,66,318,22418,421.8551,0,1,2,2,0,1,1,0,2,50,191,25
1/24/2014 11:52,3,66,318,22418,421.8551,0,1,9,2,0,1,1,0,2,50,191,25
10/22/2014 12:20,3,66,318,52997,47.7027,0,0,9,2,0,1,6,0,2,50,641,77
11/10/2014 12:38,3,66,318,48382,1753.2617,0,1,9,1,0,1,1,0,2,50,628,24
2/15/2013 13:18,3,66,462,41898,2716.6746,0,0,1,2,0,1,1,0,2,50,214,28
2/16/2013 11:57,3,66,462,41898,2716.5257,0,0,0,2,0,1,1,0,2,50,214,73
2/16/2013 12:03,3,66,462,41898,2722.4856,0,0,0,2,0,1,1,0,2,50,214,26
2/16/2013 12:23,3,66,462,41898,2716.6746,0,0,0,2,0,1,1,0,2,50,214,28
1/3/2014 16:19,3,66,462,41898,2454.8588,0,1,1,3,0,2,1,0,2,50,680,95
1/3/2014 16:30,3,66,462,41898,2454.8588,0,1,1,3,0,2,1,1,2,50,680,95
1/3/2014 16:34,3,66,462,41898,2454.8588,0,1,1,2,0,1,1,0,2,50,680,95
1/3/2014 16:44,3,66,462,41898,2454.8588,0,1,1,2,0,1,1,1,2,50,680,95
1/3/2014 16:58,3,66,462,41898,2454.8588,0,1,1,2,0,1,1,0,2,50,680,95
1/3/2014 17:11,3,66,462,41898,2454.8588,0,1,1,2,0,1,1,1,2,50,680,95
1/4/2014 14:57,3,66,462,41898,2454.8588,0,1,0,3,0,2,1,0,2,50,680,95
1/4/2014 15:01,3,66,462,41898,2454.8588,0,0,0,2,0,1,1,0,2,50,680,95
1/4/2014 15:02,3,66,462,41898,2454.8588,0,0,0,2,0,1,1,0,2,50,680,95
1/8/2014 13:28,3,66,462,41898,2454.8588,0,1,1,4,0,2,1,0,2,50,680,95
